price,opp,rooms,opp_rooms,city,address
van 2,64 - 130 m²,1 - 3 slpk.,,9000 Brugge,Vaartdijkstraat 25 | 8000 - Brugge
256.50,54 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
262.00,64 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
263.00,64 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
264.00,64 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
264.00,63 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
267.00,63 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
267.00,62 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
277.00,67 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
279.50,68 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
279.50,69 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
280.00,67 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
286.50,67 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
314.50,76 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
327.00,84 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
333.00,71 m²,1 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
354.00,88 m²,2 slpk.,,9000 Gent,Meersstraat | 9000 - Gent
